Project Geographic District ,Project School Name,Project Type ,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date
10,DEWITT CLINTON HS - X,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
10,DEWITT CLINTON HS - X,SCA CIP RESOA,Scope,In-Progress,01/26/2015,05/27/2015,
10,DEWITT CLINTON HS - X,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
10,DEWITT CLINTON HS - X,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
10,DEWITT CLINTON HS - X,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
10,DEWITT CLINTON HS - X,SCA IEH,Construction,In-Progress,11/27/2017,IEH,
10,DEWITT CLINTON HS - X,DOE - Lead Paint,Construction,In-Progress,06/01/2017,DOEL,
10,DEWITT CLINTON HS - X,DOE- RESOA,Construction,In-Progress,07/14/2017,DOER,
10,DEWITT CLINTON HS - X,DOE - Skilled Trades,Construction,In-Progress,09/07/2017,DOES,
10,DEWITT CLINTON HS - X,DOE - Skilled Trades,Construction,In-Progress,11/30/2017,DOES,
10,PRE-K CENTER @ 2510 MARION AVE,PRE-K,Scope,Complete,05/06/2015,05/13/2015,05/13/2015
10,PRE-K CENTER @ 2510 MARION AVE,PRE-K,Design,Complete,05/14/2015,09/22/2015,12/30/2015
10,PRE-K CENTER @ 2510 MARION AVE,PRE-K,Construction,Complete,03/18/2016,09/08/2017,09/05/2017
10,PRE-K CENTER @ 2510 MARION AVE,PRE-K,"CM, F&E",Complete,03/18/2016,09/08/2017,09/05/2017
10,BRONX HS OF SCIENCE - X,SCA CIP,Scope,Complete,01/30/2015,06/16/2015,05/01/2015
10,BRONX HS OF SCIENCE - X,SCA CIP,Design,Complete,06/25/2015,11/27/2015,09/29/2015
10,BRONX HS OF SCIENCE - X,SCA CIP,Construction,In-Progress,07/12/2016,07/11/2018,
10,BRONX HS OF SCIENCE - X,SCA CIP,"CM, F&E",In-Progress,07/12/2016,07/11/2018,
10,BRONX HS OF SCIENCE - X,SCA CIP,Scope,Complete,04/07/2017,08/08/2017,06/13/2017
10,BRONX HS OF SCIENCE - X,SCA CIP,Design,Complete,07/19/2017,12/05/2017,12/07/2017
10,BRONX HS OF SCIENCE - X,SCA CIP,Construction,PNS,PNS,PNS,PNS
10,BRONX HS OF SCIENCE - X,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
10,BRONX HS OF SCIENCE - X,SCA IEH,Construction,Complete,02/27/2017,IEH,07/15/2017
10,BRONX HS OF SCIENCE - X,SCA IEH,Construction,Complete,07/20/2017,IEH,08/04/2017
10,BRONX HS OF SCIENCE - X,DOE- RESOA,Construction,PNS,PNS,PNS,PNS
10,P.S. 340 ANNEX - BRONX,SCA Capacity,Scope,In-Progress,08/28/2017,02/15/2018,
10,P.S. 340 ANNEX - BRONX,SCA Capacity,Design,PNS,PNS,PNS,PNS
10,P.S. 340 ANNEX - BRONX,SCA Capacity,Construction,PNS,PNS,PNS,PNS
10,P.S. 340 ANNEX - BRONX,SCA Capacity,"CM,Art,F&E",PNS,PNS,PNS,PNS
10,P.S. 340 ANNEX - BRONX,SCA CIP,Scope,Complete,12/11/2017,12/11/2017,12/11/2017
10,P.S. 340 ANNEX - BRONX,SCA CIP,Design,In-Progress,12/11/2017,03/20/2018,
10,P.S. 340 ANNEX - BRONX,SCA CIP,Construction,PNS,PNS,PNS,PNS
10,P.S. 340 ANNEX - BRONX,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
10,JOHN F. KENNEDY HS - BRONX,SCA CIP,Scope,Complete,06/01/2012,10/17/2012,10/19/2012
10,JOHN F. KENNEDY HS - BRONX,SCA CIP,Design,Complete,03/27/2013,09/26/2013,11/08/2013
10,JOHN F. KENNEDY HS - BRONX,SCA CIP,Construction,Complete,04/07/2014,01/26/2016,01/30/2017
10,JOHN F. KENNEDY HS - BRONX,SCA CIP,"CM, F&E",Complete,04/07/2014,01/26/2016,01/30/2017
10,JOHN F. KENNEDY HS - BRONX,SCA CIP,Scope,Complete,08/19/2014,01/07/2015,07/27/2015
10,JOHN F. KENNEDY HS - BRONX,SCA CIP,Design,Complete,10/07/2015,03/14/2016,07/05/2016
10,JOHN F. KENNEDY HS - BRONX,SCA CIP,Construction,In-Progress,08/07/2017,08/06/2019,
10,JOHN F. KENNEDY HS - BRONX,SCA CIP,"CM, F&E",In-Progress,08/07/2017,08/06/2019,
2,SCHOOL OF THE FUTURE - MANHATT,DIIT - RESOA,Purch & Install,Complete,05/01/2017,01/15/2018,07/06/2017
2,SCHOOL OF THE FUTURE - MANHATT,DOE - Skilled Trades,Construction,In-Progress,09/06/2017,DOES,
2,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,Scope,Complete,07/22/2008,09/08/2008,09/16/2008
2,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,Design,Complete,09/16/2008,10/30/2008,09/16/2008
2,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,Construction,PNS,PNS,PNS,PNS
2,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
2,MNHT COMPR. NIGHT & DAY HS - M,SCA IEH,Construction,Complete,08/09/2017,IEH,12/23/2017
2,HARVEY MILK SCHOOL - MANHATTAN,SCA CIP RESOA,Scope,Complete,01/13/2017,05/15/2017,02/08/2017
2,HARVEY MILK SCHOOL - MANHATTAN,SCA CIP RESOA,Design,Complete,02/08/2017,08/08/2017,04/12/2017
2,HARVEY MILK SCHOOL - MANHATTAN,SCA CIP RESOA,Construction,In-Progress,06/28/2017,04/23/2018,
2,HARVEY MILK SCHOOL - MANHATTAN,SCA CIP RESOA,"CM, F&E",In-Progress,06/28/2017,04/23/2018,
2,HARVEY MILK SCHOOL - MANHATTAN,DIIT - PBX Telephone,Purch & Install,Complete,06/24/2013,12/31/2013,09/30/2017
2,MILLENNIUM HS - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
2,MILLENNIUM HS - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
2,MILLENNIUM HS - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
2,MILLENNIUM HS - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
2,HS FOR ECONOMICS & FINANCE - M,SCA IEH,Construction,Complete,12/29/2016,IEH,07/02/2017
2,HS FOR ENVIRONMENTAL STUDIES,SCA CIP,Scope,Complete,06/16/2015,11/13/2015,11/09/2015
2,HS FOR ENVIRONMENTAL STUDIES,SCA CIP,Design,Complete,02/26/2016,08/26/2016,11/18/2016
2,HS FOR ENVIRONMENTAL STUDIES,SCA CIP,Construction,In-Progress,06/26/2017,12/17/2018,
2,HS FOR ENVIRONMENTAL STUDIES,SCA CIP,"CM, F&E",In-Progress,06/26/2017,12/17/2018,
2,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
2,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
2,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
2,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
