Project Geographic District ,Project School Name,Project Type ,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date
2,LIFE SCIENCE SECONDARY SCHOOL,SCA CIP,Design,Complete,03/16/2017,09/15/2017,06/07/2017
2,LIFE SCIENCE SECONDARY SCHOOL,SCA CIP,Construction,PNS,PNS,PNS,PNS
2,LIFE SCIENCE SECONDARY SCHOOL,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
2,LIFE SCIENCE SECONDARY SCHOOL,DIIT - RESOA,Purch & Install,Complete,05/26/2017,01/15/2018,08/24/2017
18,MIDDLE SCHOOL OF MKTG - K,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
18,ARTS & MEDIA PREP ACADEMY - K,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
18,EAST FLATBUSH COMMUNITY RESCH,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
18,ARTS & MEDIA PREPARATORY ACADE,DIIT - RESOA,Purch & Install,Complete,10/17/2017,11/16/2017,12/08/2017
18,MIDDLE SCHOOL OF MKTG - K,DOE- RESOA,Construction,In-Progress,08/08/2014,DOER,
18,MIDDLE SCHOOL OF MKTG - K,DOE - Skilled Trades,Construction,In-Progress,08/08/2016,DOES,
18,P.S. 233 - BROOKLYN,SCA CIP,Scope,Complete,05/21/2015,10/06/2015,10/05/2015
18,P.S. 233 - BROOKLYN,SCA CIP,Design,Complete,11/20/2015,04/25/2016,05/31/2016
18,P.S. 233 - BROOKLYN,SCA CIP,Construction,In-Progress,08/14/2017,08/13/2019,
18,P.S. 233 - BROOKLYN,SCA CIP,"CM, F&E",In-Progress,08/14/2017,08/13/2019,
18,P.S. 233 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
18,P.S. 233 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
18,P.S. 233 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
18,P.S. 233 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
18,P.S. 233 - BROOKLYN,SCA Emergency Respon,Construction,In-Progress,03/26/2015,EMER,
18,P.S. 233 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,05/01/2017,01/15/2018,07/21/2017
18,P.S. 235 - BROOKLYN,SCA CIP,Scope,Complete,06/03/2014,09/02/2014,08/06/2014
18,P.S. 235 - BROOKLYN,SCA CIP,Design,Complete,08/13/2014,12/31/2014,04/23/2015
18,P.S. 235 - BROOKLYN,SCA CIP,Construction,In-Progress,01/19/2016,01/17/2017,
18,P.S. 235 - BROOKLYN,SCA CIP,"CM, F&E",In-Progress,01/19/2016,01/17/2017,
18,P.S. 235 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
18,P.S. 235 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
18,P.S. 235 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
18,P.S. 235 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
18,P.S. 235 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,04/10/2017,01/15/2018,07/12/2017
18,P.S. 235 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,04/10/2017,01/15/2018,07/12/2017
18,P.S. 235 - BROOKLYN,SCA CIP,Scope,Complete,04/08/2015,08/21/2015,07/22/2015
18,P.S. 235 - BROOKLYN,SCA CIP,Design,Complete,09/02/2015,02/08/2016,03/08/2016
18,P.S. 235 - BROOKLYN,SCA CIP,Construction,Complete,09/19/2016,09/18/2017,07/25/2017
18,P.S. 235 - BROOKLYN,SCA CIP,"CM, F&E",Complete,09/19/2016,09/18/2017,07/25/2017
18,OLYMPUS ACADEMY - BROOKLYN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
18,P.S. 244 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
18,P.S. 244 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
18,P.S. 244 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
18,P.S. 244 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
18,P.S. 244 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
18,P.S. 244 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
18,P.S. 244 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
18,P.S. 244 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
18,P.S. 244 - BROOKLYN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
18,BROOKLYN SCIENCE AND ENGINEERI,DIIT - RESOA,Purch & Install,In-Progress,10/17/2017,02/01/2018,
18,P.S. 244 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,05/26/2017,01/15/2018,09/12/2017
18,MIDDLE SCHOOL FOR ART & PHILOS,SCA CIP,Scope,Complete,01/23/2014,06/24/2014,07/07/2014
18,MIDDLE SCHOOL FOR ART & PHILOS,SCA CIP,Design,Complete,07/07/2014,12/08/2014,05/05/2015
18,MIDDLE SCHOOL FOR ART & PHILOS,SCA CIP,Construction,In-Progress,07/18/2016,01/08/2018,
18,MIDDLE SCHOOL FOR ART & PHILOS,SCA CIP,"CM, F&E",In-Progress,07/18/2016,01/08/2018,
18,MIDDLE SCHOOL FOR ART & PHILOS,SCA CIP,Scope,Complete,01/17/2017,07/13/2017,06/21/2017
18,MIDDLE SCHOOL FOR ART & PHILOS,SCA CIP,Design,In-Progress,07/21/2017,12/22/2017,
18,MIDDLE SCHOOL FOR ART & PHILOS,SCA CIP,Construction,PNS,PNS,PNS,PNS
18,MIDDLE SCHOOL FOR ART & PHILOS,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
18,MIDDLE SCHOOL FOR ART & PHILOS,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
18,MIDDLE SCHOOL FOR ART & PHILOS,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
18,MIDDLE SCHOOL FOR ART & PHILOS,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
18,MIDDLE SCHOOL FOR ART & PHILOS,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
18,I.S. 252,SCA Emergency Lighti,Scope,Complete,09/12/2003,09/12/2003,09/12/2003
18,I.S. 252,SCA Emergency Lighti,Design,Complete,09/15/2003,09/15/2003,10/28/2003
18,I.S. 252,SCA Emergency Lighti,Construction,In-Progress,02/17/2004,05/16/2006,
18,I.S. 252,SCA Emergency Lighti,CM,In-Progress,02/17/2004,05/16/2006,
18,MIDDLE SCHOOL FOR ART & PHILOS,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
18,MIDDLE SCHOOL FOR ART & PHILOS,DIIT - RESOA,Purch & Install,Complete,08/08/2017,11/15/2017,10/30/2017
18,P.S. 268 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
18,P.S. 268 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
18,P.S. 268 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
18,P.S. 268 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
18,P.S. 272 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
18,P.S. 272 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
18,P.S. 272 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
18,P.S. 272 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
18,P.S. 272 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
18,P.S. 272 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
18,P.S. 272 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
18,P.S. 272 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
18,P.S. 272 - BROOKLYN,DIIT - PBX Telephone,Purch & Install,Complete,07/01/2017,11/27/2017,11/27/2017
18,P.S. 272 - BROOKLYN,DOE - Lead Paint,Construction,In-Progress,01/05/2017,DOEL,
18,P.S. 272 - BROOKLYN,DOE - Lead Paint,Construction,In-Progress,03/15/2017,DOEL,
18,P.S. 272 - BROOKLYN,DOE - Skilled Trades,Construction,In-Progress,12/28/2016,DOES,
18,P.S. 272 - BROOKLYN,DOE - Skilled Trades,Construction,In-Progress,08/30/2017,DOES,
18,P.S. 276 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
18,P.S. 276 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
18,P.S. 276 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
18,P.S. 276 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
18,P.S. 276 - BROOKLYN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
18,P.S. 279 - BROOKLYN,SCA CIP,Scope,Complete,10/18/2013,03/25/2014,03/21/2014
18,P.S. 279 - BROOKLYN,SCA CIP,Design,Complete,03/24/2014,08/21/2014,05/15/2014
18,P.S. 279 - BROOKLYN,SCA CIP,Construction,In-Progress,07/21/2014,01/15/2017,
18,P.S. 279 - BROOKLYN,SCA CIP,"CM, F&E",In-Progress,07/21/2014,01/15/2017,
18,P.S. 279 - BROOKLYN,Fast Track Projects,Construction,In-Progress,10/31/2012,FTK,
18,P.S. 279 - BROOKLYN,DOE- RESOA,Construction,Complete,08/30/2016,07/19/2017,07/19/2017
18,P.S. 279 - BROOKLYN,DOE - Skilled Trades,Construction,In-Progress,08/30/2017,DOES,
18,I.S. 285 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
18,I.S. 285 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
18,I.S. 285 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
18,I.S. 285 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
18,I.S. 285 - BROOKLYN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
18,I.S. 285 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,05/26/2017,01/15/2018,09/20/2017
18,I.S. 285 - BROOKLYN,DOE- RESOA,Construction,In-Progress,07/06/2017,DOER,
18,THE SCIENCE AND MEDICINE MIDDL,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
18,THE SCIENCE AND MEDICINE MIDDL,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
18,THE SCIENCE AND MEDICINE MIDDL,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
18,THE SCIENCE AND MEDICINE MIDDL,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
18,THE SCIENCE AND MEDICINE MIDDL,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
18,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,Scope,Complete,09/09/2016,01/12/2017,01/04/2017
18,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,Design,Complete,01/04/2017,06/29/2017,01/18/2017
18,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,Construction,In-Progress,05/30/2017,02/23/2018,
18,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,"CM, F&E",In-Progress,05/30/2017,02/23/2018,
18,KURT HAHN EXPED LEARNING SCH,SCA CIP RESOA,Scope,Complete,04/28/2015,09/11/2015,10/02/2015
18,KURT HAHN EXPED LEARNING SCH,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
18,KURT HAHN EXPED LEARNING SCH,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
18,KURT HAHN EXPED LEARNING SCH,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
18,IT TAKES A VILLAGE ACADEMY - K,SCA CIP RESOA,Scope,Complete,07/11/2016,11/09/2016,08/23/2016
18,IT TAKES A VILLAGE ACADEMY - K,SCA CIP RESOA,Design,Complete,09/29/2016,02/17/2017,01/20/2017
18,IT TAKES A VILLAGE ACADEMY - K,SCA CIP RESOA,Construction,Complete,04/18/2017,11/13/2017,10/19/2017
18,IT TAKES A VILLAGE ACADEMY - K,SCA CIP RESOA,"CM, F&E",Complete,04/18/2017,11/13/2017,10/19/2017
18,IT TAKES A VILLAGE ACADEMY - K,SCA CIP RESOA,Scope,Complete,12/23/2015,03/25/2016,02/10/2016
18,IT TAKES A VILLAGE ACADEMY - K,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
18,IT TAKES A VILLAGE ACADEMY - K,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
18,IT TAKES A VILLAGE ACADEMY - K,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
18,IT TAKES A VILLAGE ACADEMY - K,DOE- RESOA,Construction,PNS,PNS,PNS,PNS
18,HS FOR MEDICAL PROFESSIONS - K,SCA CIP,Scope,Complete,10/17/2013,03/24/2014,06/13/2014
18,HS FOR MEDICAL PROFESSIONS - K,SCA CIP,Design,Complete,08/19/2015,01/25/2016,07/20/2017
30,P.S. 112 - QUEENS,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
30,P.S. 112 - QUEENS,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
30,P.S. 112 - QUEENS,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
30,P.S. 112 - QUEENS,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
30,P.S. 112 - QUEENS,DOE- RESOA,Construction,In-Progress,12/01/2017,DOER,
30,P.S. 112 - QUEENS,DOE - Skilled Trades,Construction,In-Progress,09/08/2017,DOES,
30,P.S. 122 - QUEENS,SCA CIP RESOA,Scope,Complete,01/12/2016,05/26/2016,03/25/2016
30,P.S. 122 - QUEENS,SCA CIP RESOA,Design,In-Progress,11/07/2017,04/12/2018,
30,P.S. 122 - QUEENS,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
30,P.S. 122 - QUEENS,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
30,P.S. 122 - QUEENS,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
30,P.S. 122 - QUEENS,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
30,P.S. 122 - QUEENS,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
30,P.S. 122 - QUEENS,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
30,P.S. 122 - QUEENS,DIIT - RESOA,Purch & Install,Complete,05/22/2017,01/15/2018,07/14/2017
30,P.S. 122 - QUEENS,DOE - Lead Paint,Construction,In-Progress,11/15/2017,DOEL,
30,P.S. 122 - QUEENS,DOE- RESOA,Construction,In-Progress,08/07/2017,DOER,
30,I.S. 126 - QUEENS,SCA CIP,Scope,Complete,09/20/2017,01/24/2018,11/03/2017
30,I.S. 126 - QUEENS,SCA CIP,Design,In-Progress,11/03/2017,05/03/2018,
30,I.S. 126 - QUEENS,SCA CIP,Construction,PNS,PNS,PNS,PNS
30,I.S. 126 - QUEENS,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
30,THE 30TH AVENUE SCHOOL,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
30,THE 30TH AVENUE SCHOOL,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
30,THE 30TH AVENUE SCHOOL,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
30,THE 30TH AVENUE SCHOOL,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
30,I.S. 126 - QUEENS,SCA IEH,Construction,Complete,08/14/2017,IEH,12/31/2017
30,I.S. 126 - QUEENS,SCA IEH,Construction,Complete,08/25/2017,IEH,09/07/2017
30,I.S. 126 - QUEENS,SCA IEH,Construction,Complete,09/02/2017,IEH,09/02/2017
30,I.S. 126 - QUEENS,SCA IEH,Construction,Complete,10/05/2017,IEH,10/06/2017
30,I.S. 126 - QUEENS,DIIT - RESOA,Purch & Install,Complete,06/05/2017,07/05/2017,09/11/2017
30,I.S. 126 - QUEENS,DIIT - RESOA,Purch & Install,Complete,06/05/2017,07/05/2017,09/11/2017
30,P.S. 127 - QUEENS,DOE - Skilled Trades,Construction,In-Progress,09/11/2017,DOES,
30,I.S. 141 - QUEENS,DOE- RESOA,Construction,In-Progress,12/01/2017,DOER,
30,I.S. 145 - QUEENS,SCA CIP,Scope,Complete,12/12/2014,05/15/2015,02/26/2015
30,I.S. 145 - QUEENS,SCA CIP,Design,Complete,04/01/2015,08/31/2015,08/26/2015
30,I.S. 145 - QUEENS,SCA CIP,Construction,In-Progress,01/09/2017,12/09/2018,
30,I.S. 145 - QUEENS,SCA CIP,"CM, F&E",In-Progress,01/09/2017,12/09/2018,
30,I.S. 145 - QUEENS,SCA IEH,Construction,In-Progress,08/14/2017,IEH,
30,I.S. 145 - QUEENS,SCA IEH,Construction,Complete,08/17/2017,IEH,08/24/2017
30,P.S. 148 - QUEENS,DIIT - Project Conne,Purch & Install,In-Progress,02/06/2009,02/01/2016,
30,P.S. 148 - QUEENS,DOE - Skilled Trades,Construction,Complete,04/03/2015,03/23/2016,03/23/2016
30,P.S. 149 - QUEENS,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
30,P.S. 149 - QUEENS,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
30,P.S. 149 - QUEENS,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
30,P.S. 149 - QUEENS,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
30,P.S. 149 - QUEENS,DOE - Skilled Trades,Construction,In-Progress,08/15/2016,DOES,
30,P.S. 150 - QUEENS,DIIT - RESOA,Purch & Install,Complete,06/14/2017,07/14/2017,09/07/2017
30,P.S. 150 - QUEENS,DOE - Skilled Trades,Construction,In-Progress,12/19/2016,DOES,
30,P.S. 151 - QUEENS,SCA CIP,Scope,Complete,11/13/2014,04/02/2015,04/22/2015
30,P.S. 151 - QUEENS,SCA CIP,Design,Complete,08/06/2015,01/11/2016,02/01/2016
30,P.S. 151 - QUEENS,SCA CIP,Construction,In-Progress,10/11/2016,01/03/2018,
30,P.S. 151 - QUEENS,SCA CIP,"CM, F&E",In-Progress,10/11/2016,01/03/2018,
30,P.S. 151 - QUEENS,SCA CIP,Scope,Complete,03/21/2017,09/21/2017,06/22/2017
30,P.S. 151 - QUEENS,SCA CIP,Design,Complete,07/10/2017,01/10/2018,10/06/2017
30,P.S. 151 - QUEENS,SCA CIP,Construction,PNS,PNS,PNS,PNS
30,P.S. 151 - QUEENS,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
30,P.S. 151 - QUEENS,SCA CIP,Scope,Complete,09/19/2017,01/23/2018,09/29/2017
30,P.S. 151 - QUEENS,SCA CIP,Design,In-Progress,09/29/2017,03/29/2018,
30,P.S. 151 - QUEENS,SCA CIP,Construction,PNS,PNS,PNS,PNS
30,P.S. 151 - QUEENS,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
30,P.S. 151 - QUEENS,Fast Track Projects,Construction,Complete,07/31/2017,FTK,08/28/2017
30,P.S. 151 - QUEENS,DIIT - RESOA,Purch & Install,Complete,05/05/2017,01/15/2018,07/12/2017
30,P.S. 152 - QUEENS,DOE - Lead Paint,Construction,Complete,02/04/2016,DOEL,04/29/2016
30,P.S. 152 - QUEENS,DOE - Lead Paint,Construction,In-Progress,09/29/2016,DOEL,
30,P.S. 166 - QUEENS,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
30,P.S. 166 - QUEENS,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
30,P.S. 166 - QUEENS,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
30,P.S. 166 - QUEENS,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
30,P.S. 171 - QUEENS,SCA CIP,Scope,Complete,09/25/2017,01/29/2018,10/03/2017
30,P.S. 171 - QUEENS,SCA CIP,Design,In-Progress,10/03/2017,04/03/2018,
30,P.S. 171 - QUEENS,SCA CIP,Construction,PNS,PNS,PNS,PNS
30,P.S. 171 - QUEENS,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
30,P.S. 171 PETER G. VAN ALST,DIIT - RESOA,Purch & Install,Complete,06/22/2017,07/14/2017,10/12/2017
30,I.S. 204 - QUEENS,SCA CIP,Scope,Complete,09/14/2017,01/18/2018,10/26/2017
30,I.S. 204 - QUEENS,SCA CIP,Design,In-Progress,10/26/2017,04/25/2018,
30,I.S. 204 - QUEENS,SCA CIP,Construction,PNS,PNS,PNS,PNS
30,I.S. 204 - QUEENS,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
30,I.S. 204 - QUEENS,SCA IEH,Construction,Complete,06/20/2017,IEH,08/22/2017
30,I.S. 204 - QUEENS,SCA IEH,Construction,Complete,08/09/2017,IEH,08/29/2017
30,I.S. 204 - QUEENS,DIIT - RESOA,Purch & Install,Complete,05/05/2017,01/15/2018,08/04/2017
30,I.S. 204 - QUEENS,DOE - Skilled Trades,Construction,In-Progress,09/11/2017,DOES,
30,P.S. 222 - QUEENS,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
30,P.S. 222 - QUEENS,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
30,P.S. 222 - QUEENS,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
30,P.S. 222 - QUEENS,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
30,P.S. 222 - QUEENS,DIIT - RESOA,Purch & Install,Complete,06/19/2017,07/19/2017,08/10/2017
30,I.S. 227 - QUEENS,SCA CIP RESOA,Scope,Complete,01/27/2017,03/27/2017,03/22/2017
30,I.S. 227 - QUEENS,SCA CIP RESOA,Design,Complete,03/22/2017,08/21/2017,05/15/2017
30,I.S. 227 - QUEENS,SCA CIP RESOA,Construction,Complete,06/22/2017,12/18/2017,12/15/2017
30,I.S. 227 - QUEENS,SCA CIP RESOA,"CM, F&E",Complete,06/22/2017,12/18/2017,12/15/2017
30,I.S. 227 - QUEENS,Trust For Public Lan,Scope,Complete,08/01/2016,02/01/2017,04/15/2017
30,I.S. 227 - QUEENS,Trust For Public Lan,Design,In-Progress,05/05/2017,06/30/2018,
30,I.S. 227 - QUEENS,Trust For Public Lan,Construction,PNS,PNS,PNS,PNS
30,I.S. 227 - QUEENS,Trust For Public Lan,F&E,PNS,PNS,PNS,PNS
30,P.S. 228 - QUEENS,DIIT - RESOA,Purch & Install,Complete,04/28/2017,06/30/2017,08/28/2017
30,I.S. 230 - QUEENS,DOE - Skilled Trades,Construction,In-Progress,04/28/2017,DOES,
30,P.S. 234 - QUEENS,SCA CIP,Scope,Complete,10/12/2017,02/13/2018,11/17/2017
30,P.S. 234 - QUEENS,SCA CIP,Design,In-Progress,11/17/2017,05/16/2018,
30,P.S. 234 - QUEENS,SCA CIP,Construction,PNS,PNS,PNS,PNS
30,P.S. 234 - QUEENS,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
30,P.S. 92 - QUEENS,SCA Capacity,Scope,Complete,06/20/2012,09/24/2013,10/03/2013
30,P.S. 92 - QUEENS,SCA Capacity,Design,Complete,10/04/2013,04/15/2014,04/28/2014
30,P.S. 92 - QUEENS,SCA Capacity,Construction,In-Progress,08/13/2014,05/08/2017,
30,P.S. 92 - QUEENS,SCA Capacity,"CM,Art,F&E",In-Progress,08/13/2014,05/08/2017,
30,P.S. 78 - QUEENS,DIIT - RESOA,Purch & Install,Complete,06/05/2017,07/05/2017,09/19/2017
30,EAST ELMHURST COMMUNITY SCHOOL,DIIT - RESOA,Purch & Install,In-Progress,12/14/2017,01/13/2018,
30,P.S. @ PARCEL C - QUEENS,SCA Capacity,Scope,Complete,12/21/2016,06/28/2017,06/28/2017
30,P.S. @ PARCEL C - QUEENS,SCA Capacity,Design,In-Progress,06/29/2017,01/09/2018,
30,P.S. @ PARCEL C - QUEENS,SCA Capacity,Construction,PNS,PNS,PNS,PNS
30,P.S. @ PARCEL C - QUEENS,SCA Capacity,"CM,Art,F&E",PNS,PNS,PNS,PNS
30,P.S. @ PARCEL F - QUEENS,SCA Capacity,Scope,Complete,04/19/2016,09/27/2016,11/14/2016
30,P.S. @ PARCEL F - QUEENS,SCA Capacity,Design,Complete,11/15/2016,04/14/2017,05/19/2017
30,P.S. @ PARCEL F - QUEENS,SCA Capacity,Construction,PNS,PNS,PNS,PNS
30,P.S. @ PARCEL F - QUEENS,SCA Capacity,"CM,Art,F&E",PNS,PNS,PNS,PNS
30,DISTRICT 30 PRE-K CENTER,SCA IEH,Construction,Complete,08/29/2017,IEH,09/01/2017
30,PRE-K CENTER @ 32-52 37TH ST,PRE-K,Scope,Complete,04/06/2015,04/23/2015,04/30/2015
30,PRE-K CENTER @ 32-52 37TH ST,PRE-K,Design,Complete,05/01/2015,08/03/2015,04/20/2016
30,PRE-K CENTER @ 32-52 37TH ST,PRE-K,Construction,Complete,07/11/2016,07/10/2017,07/10/2017
30,PRE-K CENTER @ 32-52 37TH ST,PRE-K,"CM, F&E",Complete,07/11/2016,07/10/2017,07/10/2017
30,P.S. 398 - QUEENS,SCA Capacity,Scope,Complete,06/29/2015,01/04/2016,01/25/2016
30,P.S. 398 - QUEENS,SCA Capacity,Design,Complete,01/26/2016,06/27/2016,08/25/2016
30,P.S. 398 - QUEENS,SCA Capacity,Construction,In-Progress,03/06/2017,06/03/2019,
30,P.S. 398 - QUEENS,SCA Capacity,"CM,Art,F&E",In-Progress,03/06/2017,06/03/2019,
30,WILLIAM C. BRYANT HS - QUEENS,SCA CIP,Scope,Complete,06/10/2015,12/10/2015,09/09/2015
18,HS FOR MEDICAL PROFESSIONS - K,SCA CIP,Construction,In-Progress,11/20/2017,05/13/2019,
18,HS FOR MEDICAL PROFESSIONS - K,SCA CIP,"CM, F&E",In-Progress,11/20/2017,05/13/2019,
18,HS FOR INNOVATION IN AD - BKLY,SCA CIP,Scope,Complete,06/21/2016,10/21/2016,01/17/2017
18,HS FOR INNOVATION IN AD - BKLY,SCA CIP,Design,Complete,01/17/2017,07/17/2017,03/09/2017
18,HS FOR INNOVATION IN AD - BKLY,SCA CIP,Construction,In-Progress,08/14/2017,06/09/2018,
18,HS FOR INNOVATION IN AD - BKLY,SCA CIP,"CM, F&E",In-Progress,08/14/2017,06/09/2018,
18,HS FOR INNOVATION IN AD - BKLY,SCA IEH,Construction,Complete,12/29/2016,IEH,07/03/2017
18,HS FOR MEDICAL PROFESSIONS - K,DIIT - RESOA,Purch & Install,Complete,05/01/2017,01/15/2018,08/01/2017
18,HS FOR MEDICAL PROFESSIONS - K,DOE- RESOA,Construction,Complete,08/31/2016,07/19/2017,07/19/2017
18,BROOKLYN BRIDGE ACADEMY - K,SCA CIP,Scope,Complete,07/27/2016,11/28/2016,01/25/2017
18,BROOKLYN BRIDGE ACADEMY - K,SCA CIP,Design,Complete,01/25/2017,07/25/2017,04/12/2017
18,BROOKLYN BRIDGE ACADEMY - K,SCA CIP,Construction,In-Progress,08/22/2017,07/17/2018,
18,BROOKLYN BRIDGE ACADEMY - K,SCA CIP,"CM, F&E",In-Progress,08/22/2017,07/17/2018,
